name,poi_id,osm_way_id,osm_relation_id,building,amenity,way,geometry,centroid,area,area_ft2
BMW of San Francisco,38,112595013,,commercial,,,"POLYGON ((-122.4170924 37.7702589, -122.4174733 37.770331, -122.4173231 37.7707337, -122.4170093 37.7706193, -122.4170924 37.7702589))",POINT (-122.4172302 37.7704823),1399.9,15068.2
,39,112687740,,parking,,,"POLYGON ((-122.4169878 37.7702887, -122.4168218 37.7702718, -122.4168275 37.7702253, -122.4166557 37.7702039, -122.4165726 37.7705942, -122.416447 37.770577, -122.4164192 37.7706957, -122.4163763 37.7706873, -122.4163575 37.7707721, -122.4163414 37.7707636, -122.4163093 37.7708081, -122.4164568 37.7708802, -122.4166536 37.7709075, -122.416784 37.770965, -122.4168457 37.7708802, -122.4168725 37.7708844, -122.4169878 37.7702887))",POINT (-122.4167034 37.7706072),2771.1,29828.0
,40,112757635,,yes,,,"POLYGON ((-122.4219853 37.7700828, -122.4219964 37.7702176, -122.4219588 37.7702199, -122.4218101 37.7701533, -122.421681 37.7701033, -122.4216724 37.7700264, -122.4219775 37.7700084, -122.4219853 37.7700828))",POINT (-122.4218579 37.7700965),447.0,4811.2
,41,112757636,,yes,,,"POLYGON ((-122.4222846 37.7703799, -122.4222702 37.7702179, -122.4220204 37.7702325, -122.4220216 37.7702476, -122.4222668 37.7703816, -122.4222846 37.7703799))",POINT (-122.422185 37.7702811),231.0,2486.6
Zeitgeist,42,112757637,,pub,,,"POLYGON ((-122.4219775 37.7700084, -122.4219853 37.7700828, -122.4222627 37.7700648, -122.422255 37.7699904, -122.4220165 37.7700059, -122.4219775 37.7700084))",POINT (-122.4221201 37.7700366),204.4,2200.2
,43,114621472,,commercial,,,"POLYGON ((-122.429378 37.7674119, -122.4292758 37.7674954, -122.4291661 37.7675799, -122.4291983 37.7676404, -122.4294233 37.767626, -122.4294223 37.7676145, -122.4294781 37.7676114, -122.4294722 37.7675436, -122.4294421 37.7675445, -122.4294416 37.7675324, -122.4294853 37.7674995, -122.4293985 37.7674269, -122.429378 37.7674119))",POINT (-122.42934 37.7675479),429.8,4626.8
Cafe Flore,44,115433813,,cafe,,,"POLYGON ((-122.4328523 37.7646655, -122.4330007 37.7647797, -122.4330372 37.7647574, -122.4330348 37.7647334, -122.4329964 37.7647044, -122.4330129 37.7646923, -122.4329716 37.7646619, -122.4329968 37.7646426, -122.4329353 37.7645997, -122.4328523 37.7646655))",POINT (-122.4329513 37.7646876),148.3,1596.7
Perramont Hotel,45,115433820,,apartments,,,"POLYGON ((-122.4302076 37.7667504, -122.4302675 37.766703, -122.4303464 37.7667655, -122.4303406 37.7667701, -122.4304804 37.7668808, -122.4304941 37.76687, -122.4305602 37.7669223, -122.4305363 37.7669411, -122.4305739 37.7669708, -122.4305297 37.7670057, -122.4302076 37.7667504))",POINT (-122.4303963 37.7668539),284.3,3060.4
Beck's Motor Lodge,46,115433821,,yes,,,"POLYGON ((-122.4319339 37.7653863, -122.4322193 37.7656119, -122.4322024 37.7656243, -122.4322089 37.7656724, -122.4322163 37.765752, -122.4321817 37.7657531, -122.432049 37.765856, -122.4320287 37.7658588, -122.431969 37.7658101, -122.4319107 37.7658571, -122.4318384 37.7658023, -122.4316281 37.7656315, -122.4316904 37.7655783, -122.4317092 37.7655861, -122.4317047 37.7655896, -122.4319092 37.7657522, -122.4320861 37.7656113, -122.4319366 37.7654922, -122.4318481 37.7655585, -122.4318013 37.765521, -122.4318638 37.7654472, -122.431863 37.7654423, -122.4319339 37.7653863))",POINT (-122.4319762 37.7656561),1063.7,11450.0
San Francisco Fire Station 6,47,115433822,,fire_station,,,"POLYGON ((-122.430997 37.7669746, -122.4310027 37.7670377, -122.4310089 37.7670374, -122.431022 37.7671815, -122.4307334 37.7671975, -122.4307238 37.7670836, -122.4306979 37.767085, -122.4306927 37.7670356, -122.430719 37.7670341, -122.4307158 37.7669992, -122.4309544 37.7669856, -122.4309536 37.766977, -122.430997 37.7669746))",POINT (-122.4308653 37.7670893),574.3,6181.6
